Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Ethiopia,,Addis Ababa,12,3,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,4,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,5,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,6,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,7,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,8,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,9,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,10,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,11,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,12,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,13,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,14,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,15,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,16,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,17,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,18,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,19,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,20,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,21,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,22,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,23,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,24,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,25,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,26,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,27,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,28,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,29,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,30,201,-99.0
Africa,Ethiopia,,Addis Ababa,12,31,201,-99.0
Africa,Kenya,,Nairobi,12,3,201,-99.0
Africa,Kenya,,Nairobi,12,4,201,-99.0
Africa,Kenya,,Nairobi,12,5,201,-99.0
Africa,Kenya,,Nairobi,12,6,201,-99.0
Africa,Kenya,,Nairobi,12,7,201,-99.0
Africa,Kenya,,Nairobi,12,8,201,-99.0
Africa,Kenya,,Nairobi,12,9,201,-99.0
Africa,Kenya,,Nairobi,12,10,201,-99.0
Africa,Kenya,,Nairobi,12,11,201,-99.0
Africa,Kenya,,Nairobi,12,12,201,-99.0
Africa,Kenya,,Nairobi,12,13,201,-99.0
Africa,Kenya,,Nairobi,12,14,201,-99.0
Africa,Kenya,,Nairobi,12,15,201,-99.0
Africa,Kenya,,Nairobi,12,16,201,-99.0
Africa,Kenya,,Nairobi,12,17,201,-99.0
Africa,Kenya,,Nairobi,12,18,201,-99.0
Africa,Kenya,,Nairobi,12,19,201,-99.0
Africa,Kenya,,Nairobi,12,20,201,-99.0
Africa,Kenya,,Nairobi,12,21,201,-99.0
Africa,Kenya,,Nairobi,12,22,201,-99.0
Africa,Kenya,,Nairobi,12,23,201,-99.0
Africa,Kenya,,Nairobi,12,24,201,-99.0
Africa,Kenya,,Nairobi,12,25,201,-99.0
Africa,Kenya,,Nairobi,12,26,201,-99.0
Africa,Kenya,,Nairobi,12,27,201,-99.0
Africa,Kenya,,Nairobi,12,28,201,-99.0
Africa,Kenya,,Nairobi,12,29,201,-99.0
Africa,Kenya,,Nairobi,12,30,201,-99.0
Africa,Kenya,,Nairobi,12,31,201,-99.0
Africa,Mozambique,,Maputo,12,3,201,-99.0
Africa,Mozambique,,Maputo,12,4,201,-99.0
Africa,Mozambique,,Maputo,12,5,201,-99.0
Africa,Mozambique,,Maputo,12,6,201,-99.0
Africa,Mozambique,,Maputo,12,7,201,-99.0
Africa,Mozambique,,Maputo,12,8,201,-99.0
Africa,Mozambique,,Maputo,12,9,201,-99.0
Africa,Mozambique,,Maputo,12,10,201,-99.0
Africa,Mozambique,,Maputo,12,11,201,-99.0
Africa,Mozambique,,Maputo,12,12,201,-99.0
Africa,Mozambique,,Maputo,12,13,201,-99.0
Africa,Mozambique,,Maputo,12,14,201,-99.0
Africa,Mozambique,,Maputo,12,15,201,-99.0
Africa,Mozambique,,Maputo,12,16,201,-99.0
Africa,Mozambique,,Maputo,12,17,201,-99.0
Africa,Mozambique,,Maputo,12,18,201,-99.0
Africa,Mozambique,,Maputo,12,19,201,-99.0
Africa,Mozambique,,Maputo,12,20,201,-99.0
Africa,Mozambique,,Maputo,12,21,201,-99.0
Africa,Mozambique,,Maputo,12,22,201,-99.0
Africa,Mozambique,,Maputo,12,23,201,-99.0
Africa,Mozambique,,Maputo,12,24,201,-99.0
Africa,Mozambique,,Maputo,12,25,201,-99.0
Africa,Mozambique,,Maputo,12,26,201,-99.0
